timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733390890075,439,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-11,text,true,,3722,445,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,431,0,30
1733390890767,336,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-181,text,true,,3733,446,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,331,0,11
1733390890942,508,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-247,text,true,,3733,446,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,500,0,10
1733390891094,399,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-281,text,true,,3733,446,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,388,0,17
1733390892217,315,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-330,text,true,,3733,446,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,310,0,20
1733390893334,335,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-359,text,true,,3733,446,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,321,0,20
1733390893645,493,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-79,text,true,,3722,445,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,486,0,36
1733390893790,369,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-22,text,true,,3722,445,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,358,0,11
1733390894132,614,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-327,text,true,,3733,446,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,608,0,22
1733390894262,509,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-116,text,true,,3733,446,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,498,0,8
1733390894615,366,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-101,text,true,,3733,446,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,355,0,9
1733390895577,417,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-130,text,true,,3733,446,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,411,0,8
1733390895665,365,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-12,text,true,,3722,445,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,359,0,9
1733390896228,457,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-63,text,true,,3722,445,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,450,0,21
1733390896319,390,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-90,text,true,,3722,445,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,382,0,16
1733390896606,439,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-233,text,true,,3733,446,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,433,0,15
1733390896641,425,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-286,text,true,,3733,446,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,420,0,44
1733390896967,571,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-344,text,true,,3733,446,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,564,0,12
1733390896980,857,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-64,text,true,,3722,445,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,852,0,65
1733390894960,2886,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-79,text,true,,1977,1084,400,400,http://bff.int-lt:3000/api/v2/station/bukitpanjang-gangsaroad-blk152a-deck2a/reserve-car,2880,0,0
1733390897238,612,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-227,text,true,,3730,446,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,609,0,10
1733390897340,539,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-32,text,true,,3722,445,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,528,0,8
1733390897955,311,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-221,text,true,,3733,446,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,306,0,10
1733390899488,312,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-96,text,true,,3722,445,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,303,0,10
1733390900018,365,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-370,text,true,,3730,446,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,364,0,17
1733390900488,297,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-228,text,true,,3733,446,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,297,0,9
